ano_wacc;janela;embi_media_10a
2018;2008-2017;0.02618350754936113
2019;2009-2018;0.025906351665375665
2020;2010-2019;0.025263453348819208
2021;2011-2020;0.026458307573415774
2022;2012-2021;0.0275415765069552
2023;2013-2022;0.028725252133436813
2024;2014-2023;0.028988858589793488
2025;2015-2024;0.02893185011709597
2026;2016-2025;0.02764876107286946
