ano;segmento;rf;beta_l;erp;business_premium;ke_real_di;kd_debentures;kd_custo_emissao;kd_real_ai;T;kd_real_di;ev;dv;wacc_di;wacc_ai
2018;transmissao;0.06398631286721475;0.5335316326860287;0.06383895565577363;0.034060102239995886;0.09804641510721063;0.06920982061689888;0.0035253461625942843;0.07273516677949317;0.34;0.04800521007446548;0.58245056886672;0.41754943113328;0.07715173841256406;0.1168965733523698
2019;transmissao;0.06117368298112717;0.47488950171055666;0.06435433888293458;0.030561199925029106;0.09173488290615628;0.06713791387660778;0.0039512034285046176;0.0710891173051124;0.34;0.04691881742137418;0.60385780952947;0.39614219047053;0.07398134855674399;0.11209295235870302
2020;transmissao;0.05832210082705215;0.42404647145620056;0.06462501008749402;0.027404007495423207;0.08572610832247536;0.062089992843685896;0.003726227830176558;0.06581622067386245;0.34;0.043438705644749206;0.61967012460905;0.38032987539095;0.06964294573144884;0.10551961474461947
2021;transmissao;0.05563555748855871;0.5089048963676783;0.06499928491789551;0.03307845435511481;0.08871401184367353;0.059652125224542676;0.004140072832187184;0.06379219805672987;0.34;0.04210285071744171;0.547265624875207;0.452734375124793;0.06761153693734792;0.10244172263234534
2022;transmissao;0.05325371682230717;0.6007906277366004;0.06604294788864551;0.039677984119594924;0.09293170094190209;0.05774044971506123;0.004143311518072695;0.061883761233133924;0.34;0.040843282413868386;0.546357;0.453643;0.0693021544955893;0.10500326438725652
2023;transmissao;0.05159102623198728;0.6776581725378575;0.06658275175193004;0.04512034587475475;0.09671137210674202;0.059988184655228656;0.005181024053022102;0.06516920870825076;0.34;0.04301167774744549;0.5511235128235138;0.4488764871764862;0.07260684194029002;0.110010366576197
2024;transmissao;0.050758162160486495;0.7738290786012533;0.06698429239880571;0.05183439326772476;0.10259255542821125;0.059051374958219105;0.005611041497002489;0.0646624164552216;0.34;0.04267719486044625;0.5486908402499076;0.4513091597500924;0.0755522043942494;0.11447303696098395
2025;transmissao;0.05066408265808723;0.8675385497956205;0.06772313073800118;0.058752426628064756;0.10941650928615199;0.05709320486511472;0.005611041497002489;0.0627042463621172;0.34;0.04138480259899735;0.550825847301495;0.449174152698505;0.07885842507831609;0.11948246223987287
2026;transmissao;0.05137742326682622;0.769238691706201;0.06848050642283801;0.052677855168082;0.10405527843490822;0.06068507804088671;0.005181024053022102;0.06586610209390881;0.34;0.04347162738197981;0.6022605926661351;0.397739407333865;0.0799587729709948;0.1211496560166588
