ano;segmento;rf;beta_l;erp;business_premium;ke_real_ai;ke_real_di;kd_debentures;kd_custo_emissao;kd_real_ai;T;kd_real_di;ev;dv;wacc_di;wacc_ai;beta_u;dv_br;beta_l_br
2013;transmissao;0.07000059255988435;0.6615997337715251;0.06271503746955949;0.04149225209333178;0.16892855250487293;0.11149284465321613;0.07047089614974134;0.002344881256334835;0.07281577740607617;0.34;0.04805841308801027;0.53508523687116;0.46491476312884;0.08200124092786584;0.12424430443616039;0.4204775681121883;0.46491476312884;0.6615997337715251
2014;transmissao;0.06708311302895845;0.6034673191992703;0.06405291282704938;0.03865383959064404;0.1602075039690947;0.10573695261960249;0.07149752217445864;0.002344881256334835;0.07384240343079347;0.34;0.04873598626432368;0.54513175277919;0.45486824722081;0.07980902296368446;0.12092276206618859;0.38915386838377125;0.45486824722081;0.6034673191992703
2015;transmissao;0.06349516627417029;0.48806988701959897;0.06398167514556385;0.031227528959620034;0.14351923520271262;0.09472269523379032;0.07198300043083852;0.002257033371417486;0.07424003380225601;0.34;0.04899842230948896;0.56727817862441;0.43272182137559;0.07493680457291205;0.11354061298926069;0.3246331908639732;0.43272182137559;0.48806988701959897
2016;transmissao;0.060538754397636334;0.4564326627338678;0.06361301370268518;0.029035057228842618;0.135717896403756;0.08957381162647896;0.07215143279579014;0.0028379042825172366;0.07498933707830738;0.34;0.04949296247168286;0.57768590678854;0.42231409321146;0.07264710416052594;0.11007136994019084;0.3078825899710582;0.42231409321146;0.4564326627338678
2017;transmissao;0.058813938075424295;0.4580885607058808;0.06483213913401026;0.029698861303382167;0.1341103020891007;0.08851279937880646;0.06920982061689888;0.0035253461625942843;0.07273516677949317;0.34;0.04800521007446548;0.58245056886672;0.41754943113328;0.07159887850819835;0.10848314925484599;0.31095993118010634;0.41754943113328;0.4580885607058808
2018;transmissao;0.0559374431294465;0.3683890788941654;0.0652919536053642;0.0240528426478807;0.12119740269292001;0.0799902857773272;0.06713791387660778;0.0039512034285046176;0.0710891173051124;0.34;0.04691881742137418;0.60385780952947;0.39614219047053;0.06688928186072315;0.10134739675867145;0.25708034889915526;0.39614219047053;0.3683890788941654
2019;transmissao;0.05282520225858332;0.3492521679274896;0.06540626884984659;0.02284328119185715;0.11464921734915225;0.07566848345044047;0.062089992843685896;0.003726227830176558;0.06581622067386245;0.34;0.043438705644749206;0.61967012460905;0.38032987539095;0.0634105360737239;0.0960765698086726;0.24856340457360657;0.38032987539095;0.3492521679274896
2020;transmissao;0.05006244958170309;0.9123620115769876;0.06585304929757134;0.060081820525610716;0.16688525773835428;0.11014427010731381;0.059652125224542676;0.004140072832187184;0.06379219805672987;0.34;0.04210285071744171;0.547265624875207;0.452734375124793;0.07933958061723609;0.12021148578369106;0.5901452385532326;0.452734375124793;0.9123620115769876
2021;transmissao;0.04862955106637866;0.915861319578479;0.06883132855643516;0.06303995140003656;0.16919621585820488;0.11166950246641522;0.05774044971506123;0.004143311518072695;0.061883761233133924;0.34;0.040843282413868386;0.546357;0.453643;0.07953968352311772;0.12051467200472382;0.5916411588584704;0.453643;0.915861319578479
2022;transmissao;0.05050048512382481;0.8424262847121659;0.06753115845043292;0.05689002291570679;0.16271289096898728;0.1073905080395316;0.059988184655228656;0.005181024053022102;0.06516920870825076;0.34;0.04301167774744549;0.5511235128235138;0.4488764871764862;0.07849236484948882;0.11892782552952853;0.5479003996020585;0.4488764871764862;0.8424262847121659
2023;transmissao;0.05177312277194254;0.8492436092111437;0.06729965683974252;0.057153803473254376;0.1650407973412075;0.10892692624519693;0.059051374958219105;0.005611041497002489;0.0646624164552216;0.34;0.04267719486044625;0.5486908402499076;0.4513091597500924;0.07902781564027578;0.11973911460647847;0.5504335246236243;0.4513091597500924;0.8492436092111437
2024;transmissao;0.05235480474658703;0.8177995238993259;0.06910046054582397;0.05651032373559899;0.16494716436694853;0.10886512848218602;0.05709320486511472;0.005611041497002489;0.0627042463621172;0.34;0.04138480259899735;0.550825847301495;0.449174152698505;0.07855471027978575;0.1190222883027057;0.5316597779752077;0.449174152698505;0.8177995238993259
2025;transmissao;0.05362915262539801;0.4208627211298905;0.06963992772175541;0.029308849480266876;0.12566363955403773;0.08293800210566489;0.06068507804088671;0.005181024053022102;0.06586610209390881;0.34;0.04347162738197981;0.6022605926661351;0.397739407333865;0.06724066961345017;0.10187980244462148;0.2931061921272463;0.397739407333865;0.4208627211298905
